what flights depart baltimore on friday and arrive in san francisco by 8 pm	what flights depart baltimore on friday and arrive in san francisco by 8 pm	[IN:FLIGHT what flights depart [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] on [SL:DEPART_DATE [SL:DAY_NAME friday ] ] and arrive in [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] [SL:ARRIVE_TIME [SL:TIME_RELATIVE by ] ] [SL:ARRIVE_TIME [SL:TIME 8 pm ] ] ]
i need a flight from new york to san francisco	i need a flight from new york to san francisco	[IN:FLIGHT i need a flight from [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
please give me flights from atlanta to boston on wednesday morning and thursday afternoon	please give me flights from atlanta to boston on wednesday morning and thursday afternoon	[IN:FLIGHT please give me flights from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] and [SL:DEPART_DATE [SL:DAY_NAME thursday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] ]
show me the flights from boston to denver on august second	show me the flights from boston to denver on august second	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] on [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER second ] ] ]
what flight from boston to atlanta arrives earliest in atlanta	what flight from boston to atlanta arrives earliest in atlanta	[IN:FLIGHT what flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] arrives [SL:FLIGHT_MOD earliest ] in [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
what is the earliest flight from boston to dallas fort worth leaving august eighth	what is the earliest flight from boston to dallas fort worth leaving august eighth	[IN:FLIGHT what is the [SL:FLIGHT_MOD earliest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas fort worth ] ] leaving [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER eighth ] ] ]
i want to leave philadelphia and arrive in atlanta on a thursday	i want to leave philadelphia and arrive in atlanta on a thursday	[IN:FLIGHT i want to leave [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] and arrive in [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] on a [SL:ARRIVE_DATE [SL:DAY_NAME thursday ] ] ]
show me all the flights that go from baltimore to seattle	show me all the flights that go from baltimore to seattle	[IN:FLIGHT show me all the flights that go from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME seattle ] ] ]
display all flights leaving from toronto to san diego on us air laying over in washington dc	display all flights leaving from toronto to san diego on us air laying over in washington dc	[IN:FLIGHT display all flights leaving from [SL:FROM_LOCATION [SL:CITY_NAME toronto ] ] to [SL:TO_LOCATION [SL:CITY_NAME san diego ] ] on [SL:AIRLINE_NAME us air ] laying over in [SL:STOP_LOCATION [SL:CITY_NAME washington ] ] [SL:STOP_LOCATION [SL:STATE_CODE dc ] ] ]
"i""d like to fly nonstop from atlanta to baltimore and get there at 7 pm"	"i""d like to fly nonstop from atlanta to baltimore and get there at 7 pm"	[IN:FLIGHT i'd like to fly [SL:FLIGHT_STOP nonstop ] from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] and get there at [SL:ARRIVE_TIME [SL:TIME 7 pm ] ] ]
what are your flights from denver to baltimore	what are your flights from denver to baltimore	[IN:FLIGHT what are your flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
all flights from baltimore to philadelphia less than 1000 dollars	all flights from baltimore to philadelphia less than 1000 dollars	[IN:FLIGHT all flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] [SL:COST_RELATIVE less ] than [SL:FARE_AMOUNT 1000 dollars ] ]
i need ground transportation in seattle	i need ground transportation in seattle	[IN:GROUND_SERVICE i need ground transportation in [SL:CITY_NAME seattle ] ]
all flights and fares from atlanta to dallas round trip after 12 pm less than 1100 dollars	all flights and fares from atlanta to dallas round trip after 12 pm less than 1100 dollars	[IN:FLIGHT [IN:AIRFARE all flights and fares from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] [SL:ROUND_TRIP round trip ] [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 12 pm ] ] [SL:COST_RELATIVE less ] than [SL:FARE_AMOUNT 1100 dollars ] ] ]
show me all flights from boston to dfw	show me all flights from boston to dfw	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:AIRPORT_CODE dfw ] ] ]
does us air have a flight from toronto to salt lake city monday may thirty first	does us air have a flight from toronto to salt lake city monday may thirty first	[IN:FLIGHT does [SL:AIRLINE_NAME us air ] have a flight from [SL:FROM_LOCATION [SL:CITY_NAME toronto ] ] to [SL:TO_LOCATION [SL:CITY_NAME salt lake city ] ] [SL:DEPART_DATE [SL:DAY_NAME monday ] ] [SL:DEPART_DATE [SL:MONTH_NAME may ] ] [SL:DEPART_DATE [SL:DAY_NUMBER thirty first ] ] ]
"list all flights going from boston to atlanta before 7 o""clock am on thursday"	"list all flights going from boston to atlanta before 7 o""clock am on thursday"	[IN:FLIGHT list all flights going from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE before ] ] [SL:DEPART_TIME [SL:TIME 7 o'clock am ] ] on [SL:DEPART_DATE [SL:DAY_NAME thursday ] ] ]
i need to fly from baltimore to dallas on tuesday evening	i need to fly from baltimore to dallas on tuesday evening	[IN:FLIGHT i need to fly from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] on [SL:DEPART_DATE [SL:DAY_NAME tuesday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] ]
what is ewr	what is ewr	[IN:ABBREVIATION what is [SL:AIRPORT_CODE ewr ] ]
what is the earliest morning flight leaving boston for washington	what is the earliest morning flight leaving boston for washington	[IN:FLIGHT what is the [SL:FLIGHT_MOD earliest ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] flight leaving [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] for [SL:TO_LOCATION [SL:CITY_NAME washington ] ] ]
please give all flights from dallas to oakland california monday	please give all flights from dallas to oakland california monday	[IN:FLIGHT please give all flights from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] [SL:TO_LOCATION [SL:STATE_NAME california ] ] [SL:DEPART_DATE [SL:DAY_NAME monday ] ] ]
do you have a united flight from boston to washington	do you have a united flight from boston to washington	[IN:FLIGHT do you have a [SL:AIRLINE_NAME united ] flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] ]
please list the flights from new york to los angeles	please list the flights from new york to los angeles	[IN:FLIGHT please list the flights from [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME los angeles ] ] ]
what does fn under fare code mean	what does fn under fare code mean	[IN:ABBREVIATION what does [SL:FARE_BASIS_CODE fn ] under fare code mean ]
is fare code b the same as business class	is fare code b the same as business class	[IN:ABBREVIATION is fare code [SL:FARE_BASIS_CODE b ] the [SL:MOD same ] as [SL:CLASS_TYPE business class ] ]
can you show me what flights are available on december sixteen going from oakland to dallas	can you show me what flights are available on december sixteen going from oakland to dallas	[IN:FLIGHT can you show me what flights are available on [SL:DEPART_DATE [SL:MONTH_NAME december ] ] [SL:DEPART_DATE [SL:DAY_NUMBER sixteen ] ] going from [SL:FROM_LOCATION [SL:CITY_NAME oakland ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
could you please give me a one way fare from pittsburgh to atlanta	could you please give me a one way fare from pittsburgh to atlanta	[IN:AIRFARE could you please give me a [SL:ROUND_TRIP one way ] fare from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
"i""d like to find a flight from charlotte to las vegas and make a stop in st. louis"	"i""d like to find a flight from charlotte to las vegas and make a stop in st. louis"	[IN:FLIGHT i'd like to find a flight from [SL:FROM_LOCATION [SL:CITY_NAME charlotte ] ] to [SL:TO_LOCATION [SL:CITY_NAME las vegas ] ] and make a stop in [SL:STOP_LOCATION [SL:CITY_NAME st. louis ] ] ]
flights from ontario to orlando	flights from ontario to orlando	[IN:FLIGHT flights from [SL:FROM_LOCATION [SL:CITY_NAME ontario ] ] to [SL:TO_LOCATION [SL:CITY_NAME orlando ] ] ]
list united flights from denver to san francisco on wednesdays	list united flights from denver to san francisco on wednesdays	[IN:FLIGHT list [SL:AIRLINE_NAME united ] flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesdays ] ] ]
show me round trip fares from baltimore to philadelphia	show me round trip fares from baltimore to philadelphia	[IN:AIRFARE show me [SL:ROUND_TRIP round trip ] fares from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
how much would car rental cost in atlanta	how much would car rental cost in atlanta	[IN:GROUND_FARE how much would [SL:TRANSPORT_TYPE car rental ] cost in [SL:CITY_NAME atlanta ] ]
list daily flights from boston to oakland using twa	list daily flights from boston to oakland using twa	[IN:FLIGHT list [SL:FLIGHT_DAYS daily ] flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] using [SL:AIRLINE_CODE twa ] ]
what is the smallest aircraft available flying from pittsburgh to baltimore arriving on may seventh	what is the smallest aircraft available flying from pittsburgh to baltimore arriving on may seventh	[IN:AIRCRAFT what is the [SL:MOD smallest ] aircraft available flying from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] arriving on [SL:ARRIVE_DATE [SL:MONTH_NAME may ] ] [SL:ARRIVE_DATE [SL:DAY_NUMBER seventh ] ] ]
i need to fly from atlanta to charlotte north carolina next monday	i need to fly from atlanta to charlotte north carolina next monday	[IN:FLIGHT i need to fly from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME charlotte ] ] [SL:TO_LOCATION [SL:STATE_NAME north carolina ] ] [SL:DEPART_DATE [SL:DATE_RELATIVE next ] ] [SL:DEPART_DATE [SL:DAY_NAME monday ] ] ]
what are flights between boston and pittsburgh on august tenth	what are flights between boston and pittsburgh on august tenth	[IN:FLIGHT what are flights between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] on [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER tenth ] ] ]
what are the flights from denver to oakland	what are the flights from denver to oakland	[IN:FLIGHT what are the flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] ]
round trip fares from baltimore to philadelphia under 1000 dollars	round trip fares from baltimore to philadelphia under 1000 dollars	[IN:AIRFARE [SL:ROUND_TRIP round trip ] fares from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] [SL:COST_RELATIVE under ] [SL:FARE_AMOUNT 1000 dollars ] ]
flights from boston to pittsburgh	flights from boston to pittsburgh	[IN:FLIGHT flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
"i""d like to leave from boston on tuesday and i""d like to leave sometime in the morning"	"i""d like to leave from boston on tuesday and i""d like to leave sometime in the morning"	[IN:FLIGHT i'd like to leave from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] on [SL:DEPART_DATE [SL:DAY_NAME tuesday ] ] and i'd like to leave sometime in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] ]
please list the shortest one stop flight from ontario california to orlando florida	please list the shortest one stop flight from ontario california to orlando florida	[IN:FLIGHT please list the [SL:FLIGHT_MOD shortest ] [SL:FLIGHT_STOP one stop ] flight from [SL:FROM_LOCATION [SL:CITY_NAME ontario ] ] [SL:FROM_LOCATION [SL:STATE_NAME california ] ] to [SL:TO_LOCATION [SL:CITY_NAME orlando ] ] [SL:TO_LOCATION [SL:STATE_NAME florida ] ] ]
give me a list of airports in baltimore	give me a list of airports in baltimore	[IN:AIRPORT give me a list of airports in [SL:CITY_NAME baltimore ] ]
show me the flights from oakland to washington	show me the flights from oakland to washington	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME oakland ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] ]
show me all the cheapest fares from new york to miami leaving on tuesday	show me all the cheapest fares from new york to miami leaving on tuesday	[IN:AIRFARE show me all the [SL:COST_RELATIVE cheapest ] fares from [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME miami ] ] leaving on [SL:DEPART_DATE [SL:DAY_NAME tuesday ] ] ]
please list all flights between boston and atlanta	please list all flights between boston and atlanta	[IN:FLIGHT please list all flights between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
what are connecting flights from chicago to seattle on june first	what are connecting flights from chicago to seattle on june first	[IN:FLIGHT what are [SL:CONNECT connecting ] flights from [SL:FROM_LOCATION [SL:CITY_NAME chicago ] ] to [SL:TO_LOCATION [SL:CITY_NAME seattle ] ] on [SL:DEPART_DATE [SL:MONTH_NAME june ] ] [SL:DEPART_DATE [SL:DAY_NUMBER first ] ] ]
flying from pittsburgh to atlanta on september fourth what would be the cheapest flight	flying from pittsburgh to atlanta on september fourth what would be the cheapest flight	[IN:FLIGHT flying from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] on [SL:DEPART_DATE [SL:MONTH_NAME september ] ] [SL:DEPART_DATE [SL:DAY_NUMBER fourth ] ] what would be the [SL:COST_RELATIVE cheapest ] flight ]
show me continental flights from chicago to seattle on saturday morning	show me continental flights from chicago to seattle on saturday morning	[IN:FLIGHT show me [SL:AIRLINE_NAME continental ] flights from [SL:FROM_LOCATION [SL:CITY_NAME chicago ] ] to [SL:TO_LOCATION [SL:CITY_NAME seattle ] ] on [SL:DEPART_DATE [SL:DAY_NAME saturday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] ]
show me the flights from boston to pittsburgh on wednesday or thursday	show me the flights from boston to pittsburgh on wednesday or thursday	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] [SL:OR or ] [SL:DEPART_DATE [SL:DAY_NAME thursday ] ] ]
i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm	i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm	[IN:FLIGHT i would like a flight between [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] and [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] leaving from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] and arriving at [SL:ARRIVE_TIME [SL:TIME 5 pm ] ] ]
"i""d like to fly late tomorrow from minneapolis to long beach"	"i""d like to fly late tomorrow from minneapolis to long beach"	[IN:FLIGHT i'd like to fly [SL:DEPART_TIME [SL:PERIOD_MOD late ] ] [SL:DEPART_DATE [SL:TODAY_RELATIVE tomorrow ] ] from [SL:FROM_LOCATION [SL:CITY_NAME minneapolis ] ] to [SL:TO_LOCATION [SL:CITY_NAME long beach ] ] ]
train to newark	train to newark	[IN:GROUND_SERVICE [SL:TRANSPORT_TYPE train ] to [SL:CITY_NAME newark ] ]
dallas to oakland saturday	dallas to oakland saturday	[IN:FLIGHT [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] [SL:DEPART_DATE [SL:DAY_NAME saturday ] ] ]
does american airlines fly from philadelphia to san francisco	does american airlines fly from philadelphia to san francisco	[IN:FLIGHT does [SL:AIRLINE_NAME american airlines ] fly from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
what is your cheapest flight from pittsburgh to denver	what is your cheapest flight from pittsburgh to denver	[IN:FLIGHT what is your [SL:COST_RELATIVE cheapest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
what is the earliest flight from boston to san francisco that serves a meal	what is the earliest flight from boston to san francisco that serves a meal	[IN:FLIGHT what is the [SL:FLIGHT_MOD earliest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] that serves a [SL:MEAL meal ] ]
show me flights from denver to philadelphia on a monday	show me flights from denver to philadelphia on a monday	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] on a [SL:DEPART_DATE [SL:DAY_NAME monday ] ] ]
what flights are available from boston to atlanta on july seventh 8 am	what flights are available from boston to atlanta on july seventh 8 am	[IN:FLIGHT what flights are available from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] on [SL:DEPART_DATE [SL:MONTH_NAME july ] ] [SL:DEPART_DATE [SL:DAY_NUMBER seventh ] ] [SL:DEPART_TIME [SL:TIME 8 am ] ] ]
show me times for coach flights between boston and baltimore on wednesday	show me times for coach flights between boston and baltimore on wednesday	[IN:FLIGHT_TIME show me [SL:FLIGHT_TIME times ] for [SL:CLASS_TYPE coach ] flights between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] ]
show me flights from denver to san francisco on wednesday	show me flights from denver to san francisco on wednesday	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] ]
could you tell me the flights leaving pittsburgh around midnight for oakland	could you tell me the flights leaving pittsburgh around midnight for oakland	[IN:FLIGHT could you tell me the flights leaving [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE around ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY midnight ] ] for [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] ]
us 201	us 201	[IN:FLIGHT [SL:AIRLINE_CODE us ] [SL:FLIGHT_NUMBER 201 ] ]
what flights do you have leaving boston going to san francisco	what flights do you have leaving boston going to san francisco	[IN:FLIGHT what flights do you have leaving [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] going to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
how many first class flights are provided by american airlines	how many first class flights are provided by american airlines	[IN:QUANTITY how many [SL:CLASS_TYPE first class ] flights are provided by [SL:AIRLINE_NAME american airlines ] ]
list all the takeoffs and landings at general mitchell airport	list all the takeoffs and landings at general mitchell airport	[IN:FLIGHT list all the takeoffs and landings at [SL:AIRPORT_NAME general mitchell airport ] ]
show me flights from denver to philadelphia	show me flights from denver to philadelphia	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
i have two friends that would like to visit me on wednesday here in washington dc one of them lives in denver and the other lives in miami	i have two friends that would like to visit me on wednesday here in washington dc one of them lives in denver and the other lives in miami	[IN:FLIGHT i have two friends that would like to visit me on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] here in [SL:TO_LOCATION [SL:CITY_NAME washington ] ] [SL:TO_LOCATION [SL:STATE_CODE dc ] ] one of them lives in [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] and the other lives in [SL:FROM_LOCATION [SL:CITY_NAME miami ] ] ]
what is the fare code y and what is the fare code h	what is the fare code y and what is the fare code h	[IN:ABBREVIATION what is the fare code [SL:FARE_BASIS_CODE y ] and what is the fare code [SL:FARE_BASIS_CODE h ] ]
find travel arrangements for a round trip flight from baltimore to pittsburgh	find travel arrangements for a round trip flight from baltimore to pittsburgh	[IN:FLIGHT find travel arrangements for a [SL:ROUND_TRIP round trip ] flight from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
which airlines fly between boston and baltimore	which airlines fly between boston and baltimore	[IN:AIRLINE which airlines fly between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
i want a one way ticket from dallas to baltimore	i want a one way ticket from dallas to baltimore	[IN:AIRFARE i want a [SL:ROUND_TRIP one way ] ticket from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
what ground transportation is available in charlotte	what ground transportation is available in charlotte	[IN:GROUND_SERVICE what ground transportation is available in [SL:CITY_NAME charlotte ] ]
show me flights from san francisco to minneapolis	show me flights from san francisco to minneapolis	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME minneapolis ] ] ]
what is the first flight after 12 noon from washington for denver	what is the first flight after 12 noon from washington for denver	[IN:FLIGHT what is the [SL:FLIGHT_MOD first ] flight [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 12 noon ] ] from [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] for [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
what time does twa depart from boston to go to san francisco	what time does twa depart from boston to go to san francisco	[IN:FLIGHT_TIME what [SL:FLIGHT_TIME time ] does [SL:AIRLINE_CODE twa ] depart from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to go to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
give me the flights with the fares from indianapolis to orlando on december twenty seventh	give me the flights with the fares from indianapolis to orlando on december twenty seventh	[IN:FLIGHT give me the flights with the fares from [SL:FROM_LOCATION [SL:CITY_NAME indianapolis ] ] to [SL:TO_LOCATION [SL:CITY_NAME orlando ] ] on [SL:DEPART_DATE [SL:MONTH_NAME december ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twenty seventh ] ] ]
may i have a listing of flights from milwaukee to tacoma washington departing in the evening	may i have a listing of flights from milwaukee to tacoma washington departing in the evening	[IN:FLIGHT may i have a listing of flights from [SL:FROM_LOCATION [SL:CITY_NAME milwaukee ] ] to [SL:TO_LOCATION [SL:CITY_NAME tacoma ] ] [SL:TO_LOCATION [SL:STATE_NAME washington ] ] departing in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] ]
what flights are available from dallas to atlanta with one way economy fares	what flights are available from dallas to atlanta with one way economy fares	[IN:FLIGHT what flights are available from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] with [SL:ROUND_TRIP one way ] [SL:ECONOMY economy ] fares ]
i want a flight that leaves from charlotte to newark that leaves in the afternoon or evening	i want a flight that leaves from charlotte to newark that leaves in the afternoon or evening	[IN:FLIGHT i want a flight that leaves from [SL:FROM_LOCATION [SL:CITY_NAME charlotte ] ] to [SL:TO_LOCATION [SL:CITY_NAME newark ] ] that leaves in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] [SL:OR or ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] ]
round trip fares new york to san jose	round trip fares new york to san jose	[IN:AIRFARE [SL:ROUND_TRIP round trip ] fares [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME san jose ] ] ]
"what""s the lowest round trip fare from denver to atlanta"	"what""s the lowest round trip fare from denver to atlanta"	[IN:AIRFARE what's the [SL:COST_RELATIVE lowest ] [SL:ROUND_TRIP round trip ] fare from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
do any of the continental flights from boston to san francisco stop in denver	do any of the continental flights from boston to san francisco stop in denver	[IN:FLIGHT do any of the [SL:AIRLINE_NAME continental ] flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] stop in [SL:STOP_LOCATION [SL:CITY_NAME denver ] ] ]
which airlines serve atlanta	which airlines serve atlanta	[IN:AIRLINE which airlines serve [SL:CITY_NAME atlanta ] ]
what flights are available friday afternoon from atlanta to dallas	what flights are available friday afternoon from atlanta to dallas	[IN:FLIGHT what flights are available [SL:DEPART_DATE [SL:DAY_NAME friday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
what flights go from philadelphia to san francisco via dallas	what flights go from philadelphia to san francisco via dallas	[IN:FLIGHT what flights go from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] via [SL:STOP_LOCATION [SL:CITY_NAME dallas ] ] ]
thank you i also need to travel next wednesday evening from dallas to san francisco	thank you i also need to travel next wednesday evening from dallas to san francisco	[IN:FLIGHT thank you i also need to travel [SL:DEPART_DATE [SL:DATE_RELATIVE next ] ] [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
what is the ground transportation from boston airport to boston downtown	what is the ground transportation from boston airport to boston downtown	[IN:GROUND_SERVICE what is the ground transportation from [SL:FROM_LOCATION [SL:AIRPORT_NAME boston airport ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] downtown ]
